# Genepanel: TrioPU Version: 01 Date: 2016-01-21        Post-processed: 2016-05-02
gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
TCTN1	Joubert syndrome 13	AR	614173		!	
TCTN2	Joubert syndrome 24	AR	616654			
TCTN2	?Meckel syndrome 8	AR	613885			
TFAP2A	Branchiooculofacial syndrome	AD	113620			
TFAP2B	Char syndrome	AD	169100			
TGFBR1	Loeys-Dietz syndrome 1	AD	609192			
TGFBR2	Loeys-Dietz syndrome 2	AD	610168			
TGIF1	Holoprosencephaly-4	AD	142946		!	
TH	Segawa syndrome, recessive	AR	605407			
THRA	Hypothyroidism, congenital, nongoitrous, 6	AD	614450			
TIMM8A	Mohr-Tranebjaerg syndrome	XR	304700			
TIMM8A	Jensen syndrome	XR	311150		!	
TK2	Mitochondrial DNA depletion syndrome 2 (myopathic type)	AR	609560			
TMCO1	Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	AR	213980			
TMEM165	Congenital disorder of glycosylation, type IIk	AR	614727			
TMEM216	Meckel syndrome 2	AR	603194			
TMEM216	Joubert syndrome 2	AR	608091			
TMEM237	Joubert syndrome 14	AR	614424			
TMEM67	Nephronophthisis 11	AR	613550			
TMEM67	Meckel syndrome 3	AR	607361			
TMEM67	Joubert syndrome 6	AR	610688			
TMEM67	COACH syndrome	AR	216360			
TMEM70	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2	AR	614052			
TPP1	Spinocerebellar ataxia, autosomal recessive 7	AR	609270			
TPP1	Ceroid lipofuscinosis, neuronal, 2	AR	204500			
TRAPPC9	Mental retardation, autosomal recessive 13	AR	613192			
TREX1	Vasculopathy, retinal, with cerebral leukodystrophy	AD	192315			
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive	AR;AD	225750			
TRIM32	?Bardet-Biedl syndrome 11	AR	615988			
TSC1	Tuberous sclerosis-1	AD	191100			
TSC1	Focal cortical dysplasia, Taylor balloon cell type	AD	607341			
TSC2	Lymphangioleiomyomatosis, somatic		606690			
TSC2	Tuberous sclerosis-2	AD	613254			
TSEN2	Pontocerebellar hypoplasia type 2B	AR	612389			
TSEN34	Pontocerebellar hypoplasia type 2C		612390			
TSEN54	Pontocerebellar hypoplasia type 2A	AR	277470			
TSEN54	?Pontocerebellar hypoplasia type 5	AR	610204			
TSEN54	Pontocerebellar hypoplasia type 4	AR	225753			
TSPAN7	Mental retardation, X-linked 58		300210			
TTC19	Mitochondrial complex III deficiency, nuclear type 2	AR	615157			
TTC37	Trichohepatoenteric syndrome 1	AR	222470			
TTC8	Bardet-Biedl syndrome 8	AR	615985			
TTI2	Mental retardation, autosomal recessive 39	AR	615541			
TUBA1A	Lissencephaly 3	AD	611603			
TUBA8	Polymicrogyria with optic nerve hypoplasia	AR	613180			
TUBB2A	Cortical dysplasia, complex, with other brain malformations 5	AD	615763			
TUBB2B	Polymicrogyria, symmetric or asymmetric	AD	610031			
TUBB4A	Leukodystrophy, hypomyelinating, 6	AD	612438			
TUBGCP6	Microcephaly and chorioretinopathy, autosomal recessive, 1	AR	251270			
TUFM	Combined oxidative phosphorylation deficiency 4	AR	610678		!	
TUSC3	Mental retardation, autosomal recessive 7		611093			
TWIST1	Craniosynostosis, type 1	AD	123100			
TWIST1	Saethre-Chotzen syndrome with eyelid anomalies	AD	101400			
TWIST1	Saethre-Chotzen syndrome	AD	101400			
UBE2A	Mental retardation, X-linked syndromic, Nascimento-type	XR	300860			
UBE3A	Angelman syndrome	IC	105830			
UBR1	Johanson-Blizzard syndrome	AR	243800			
UGT1A1	Crigler-Najjar syndrome, type I	AR	218800			
UMPS	Orotic aciduria	AR	258900			
UPF3B	Mental retardation, X-linked, syndromic 14	XR	300676			
UQCRB	Mitochondrial complex III deficiency, nuclear type 3	AR	615158			
UQCRQ	Mitochondrial complex III deficiency, nuclear type 4	AR	615159			
UROC1	?Urocanase deficiency	AR	276880			
USP9X	Mental retardation, X-linked 99	XR	300919			
VIPAS39	Arthrogryposis, renal dysfunction, and cholestasis 2	AR	613404			
VLDLR	Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1	AR	224050			
VPS13B	Cohen syndrome	AR	216550			
VPS33B	Arthrogryposis, renal dysfunction, and cholestasis 1	AR	208085			
VRK1	Pontocerebellar hypoplasia type 1A	AR	607596			
WDPCP	?Bardet-Biedl syndrome 15	AR	615992			
WDR19	Senior-Loken syndrome 8	AR	616307			
WDR19	Nephronophthisis 13	AR	614377			
WDR35	Cranioectodermal dysplasia 2	AR	613610			Ikke PU, men syndromal utseende, bevares i TRIO
WDR35	Short-rib thoracic dysplasia 7 with or without polydactyly	AR	614091			Ikke PU, men syndromal utseende, bevares i TRIO
WDR45	Neurodegeneration with brain iron accululation 5	XD	300894			
WDR62	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations	AR	604317			
WNT3	?Tetra-amelia syndrome	AR	273395			
WNT4	SERKAL syndrome		611812			
WNT5A	Robinow syndrome, autosomal dominant 1	AD	180700			
XPA	Xeroderma pigmentosum, group A	AR	278700			
XPNPEP3	Nephronophthisis-like nephropathy 1	AR	613159			
XYLT1	{Pseudoxanthoma elasticum, modifier of severity of}	AR	264800			
YAP1	Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation	AD	120433			
YAP1	Coloboma, ocular	AD	120433			
ZBTB16	Skeletal defects, genital hypoplasia, and mental retardation	AR	612447			
ZDHHC15	?Mental retardation, X-linked 91	XD	300577			
ZDHHC9	Mental retardation, X-linked syndromic, Raymond type		300799			
ZEB2	Mowat-Wilson syndrome	AD	235730			
ZFYVE26	Spastic paraplegia 15, autosomal recessive	AR	270700			
ZIC2	Holoprosencephaly-5	AD	609637			
ZNF711	Mental retardation, X-linked 97	XR	300803		!	
